DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
Teacher reports of executive function,Results on teacher reports of executive function; Results on teacher reports of executive function (PK),Kindergarten Readiness,PK,,Kindergarten readiness: approaches to learning,False
Teacher reports of social-emotional development,Results on teacher reports of social-emotional development; Results on teacher reports of social-emotional development (PK),Kindergarten Readiness,PK,,Kindergarten readiness: social-emotional development,False
Teacher-child interaction measure (K-12),Results on teacher-child interaction measure,Teaching Effectiveness,K-12,,Classroom observations of instructional practice,False
Teacher-child interaction measure (PK),Results on teacher-child interaction measure (PK),Teaching Effectiveness,PK,,Classroom observations of instructional practice,False
Teaching assignment,Course instructor (or teacher's course assignments); Teaching assignment (subject and/or grade level taught),Teaching Effectiveness,,Subject and/or grade level that is taught,Teacher credentials,False
Total educational funding,Total educational funding,School Climate,,,Expenditures on workforce development programs,False
Total net price of education plus interest,Total net price of education plus interest,Postsecondary Success,,,Minimum economic return,False
Transfer enrollment status,Transfer enrollment status,Postsecondary Success,,,,True
Transfer indicator or transfer student status,Transfer indicator or transfer student status,Postsecondary Success,,,Transfer (if applicable),False
Universal screening results,Universal screening results,School Climate,,,Mental and emotional well-being,False
Urbanicity,Urbanicity,School Climate,,,,True
USDA Food Access Research Atlas Access Level Flag,USDA Food Access Research Atlas Access Level Flag,School Climate,,,Food Security,False
USDA Food Security Survey ratings,Rating on USDA Food Security Survey module,School Climate,,,Food Security,False
VAM for subject specific assessment,VAM for subject specific assessment,Teaching Effectiveness,,,Teachers' contributions to student learning growth,False
Workforce development program participation,Workforce development program participation,Workforce Transitions,Workforce,,Industry-recognized credential,False
Years in current position,Years in current position,Teaching Effectiveness,,,Educator retention,False
Years of teaching experience,"Percentage of K-12 teachers with < 1 year, 1–5 years, and 5+ years of experience; Years of teaching experience",Teaching Effectiveness,,,Teacher experience,False
