DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
EAP or mental health services provided,EAP or mental health services provided,Workforce Success,,,"Access to health, mental health, and social supports",False
Early intervention screening results,Early intervention screening results,Kindergarten Readiness,,,Access to early intervention screening; Enrollment in quality public pre-K,False
Early intervention screening services referral status,Early intervention screening outcomes (connection to services),Kindergarten Readiness,,,Access to early intervention screening; Enrollment in quality public pre-K,False
Earnings,Earnings; Earnings amount; Post-credential earnings,Workforce Success,,,Credential value; Earnings; Economic mobility; Minimum economic return; Successful career transition after high school,False
Eligibility for federal rental assistance,Eligibility for federal rental assistance,School Climate,,,Access to affordable housing,False
Employee income level,Employee income level,Workforce Success,,,School and workplace socioeconomic diversity,False
Employee race/ethnicity,Employee race/ethnicity,Workforce Success,,,School and workplace racial and ethnic diversity,False
Employment date,Employment date,Workforce Transitions,,,Successful career transition after high school,False
Employment status,Employment status,Workforce Transitions,,,Employment in a quality job; Employment rate,False
English learner classification date,English learner classification date; English learner reclassification date,School Climate,,,English learner progress,False
English learner status,English learner; English learner status,School Climate,,,English learner progress,True
Enlistment in the military,Enlistment in the military,Workforce Transitions,,,Successful career transition after high school,False
Enrollment date,Enrollment date,School Climate,,,High school graduation,False
Enrollment in noncredit CTE date,Enrollment in noncredit CTE date,Workforce Transitions,,,Successful career transition after high school,False
Enrollment in public pre-K,Enrollment in public pre-K,Kindergarten Readiness,,,Enrollment in quality public pre-K,False
Enrollment in workforce training program,Enrollment in workforce training program,Workforce Transitions,,,Participation in work-based learning,False
Enrollment status (current and prior years),Enrollment status (current and prior years),Postsecondary Success,,,Postsecondary persistence; Transfer (if applicable),False
Expenditures per student (K-12),Expenditures per K-12 pupil,School Climate,K-12,,Expenditures per student,False
Expenditures per student (PK),Expenditures per Pre-K pupil,Kindergarten Readiness,PK,,Expenditures per student,False
Expenditures per student (Postsecondary),Expenditures per student (postsecondary),Postsecondary Success,Postsecondary,,Expenditures per student,False
FAFSA completion date,FAFSA completion date,Postsecondary Transitions,,,FAFSA completion,False
Family eligibility for child care subsidies,Family eligibility for child care subsidies,Kindergarten Readiness,,,Access to child care subsidies; Enrollment in quality public pre-K,False
Family engagement surveys (K-12),Results on family engagement surveys (K-12),School Climate,K-12,,School-family engagement,False
Family engagement surveys (PK),Results on family engagement surveys (Pre-K),Kindergarten Readiness,PK,,School-family engagement,False
