IndicatorName,IndicatorDataElement,DataModelId,GlobalId,DataWarehouseLocations
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Identity -> Child Identification System,71352,000785,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Identity -> Child Identifier,71351,001080,RDS.DimPeople.ELChildChildIdentifierState
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Individualized Program -> Student Support Service Type,75738,000273,RDS.DimIndividualizedProgramStatuses.StudentSupportServiceTypeCode; RDS.DimIndividualizedProgramStatuses.StudentSupportServiceTypeDescription
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Language -> ISO 639-3 Language Code,74219,001637,RDS.DimLanguages.Iso6393LanguageCodeCode; RDS.DimLanguages.Iso6393LanguageCodeDescription
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Language -> Language Type,70645,000316,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Early Childhood Program Enrollment Type,74133,000829,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Program Participation Exit Date,70662,000591,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Program Participation Start Date,70661,000590,
Enrollment in public pre-K,Early Learning -> Early Learning Family -> Family/Household Information -> Family Income,70674,000332,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Local Education Agency Identification System,75814,001072,RDS.DimAssessmentAdministrations.LEAIdentificationSystem
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Local Education Agency Identifier,75815,001068,RDS.DimAssessmentAdministrations.LocalEducationAgencyIdentifier; RDS.DimK12Schools.LeaIdentifierNces; RDS.DimK12Schools.LeaIdentifierSea; RDS.DimK12Schools.PriorLeaIdentifierSea; RDS.DimLeas.LeaIdentifierNces; RDS.DimLeas.LeaIdentifierSea; RDS.DimLeas.PriorLeaIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Organization Identification System,72283,000827,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> Organization Identifier,72282,000826,RDS.DimCharterSchoolAuthorizers.CharterSchoolAuthorizingOrganizationOrganizationIdentifierSea; RDS.DimCharterSchoolManagementOrganizations.CharterSchoolManagementOrganizationOrganizationIdentifierSea; RDS.DimCharterSchoolManagementOrganizations.OrganizationIdentifierFein; RDS.DimEducationOrganizationNetworks.OrganizationIdentifierSea; RDS.DimIeus.IeuOrganizationIdentifierSea; RDS.DimK12Schools.IeuOrganizationIdentifierSea; RDS.DimLeas.IeuOrganizationIdentifierSea; RDS.FactCustomCounts.OrganizationIdentifierNces; RDS.FactCustomCounts.OrganizationIdentifierSea; RDS.FactCustomCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StaffCounts.OrganizationIdentifierNces; RDS.ReportEDFactsK12StaffCounts.OrganizationIdentifierSea; RDS.ReportEDFactsK12StaffCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAssessments.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentAssessments.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAssessments.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAttendance.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentAttendance.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentAttendance.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentCounts.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentCounts.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentCounts.ParentOrganizationIdentifierSea; RDS.ReportEDFactsK12StudentDisciplines.OrganizationIdentifierNces; RDS.ReportEDFactsK12StudentDisciplines.OrganizationIdentifierSea; RDS.ReportEDFactsK12StudentDisciplines.ParentOrganizationIdentifierSea; RDS.ReportK12PsProgramEffectiveness.K12OrganizationIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> School Identification System,75817,001073,RDS.DimAssessmentAdministrations.SchoolIdentificationSystem
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> School Identifier,75818,001069,RDS.DimAssessmentAdministrations.SchoolIdentifier; RDS.DimK12Schools.SchoolIdentifierNces; RDS.DimK12Schools.SchoolIdentifierSea; RDS.DimK12Schools.PriorSchoolIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> State Agency Identification System,75820,001491,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Identification -> State Agency Identifier,75821,001490,RDS.DimIeus.SeaOrganizationIdentifierSea; RDS.DimK12Schools.SeaOrganizationIdentifierSea; RDS.DimLeas.SeaOrganizationIdentifierSea; RDS.DimSeas.SeaOrganizationIdentifierSea
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Organization Information -> Early Childhood Program Enrollment Type,72285,000829,
Enrollment in public pre-K,Early Learning -> Early Learning Organization -> Organization Information -> Early Learning Program Year,72315,000864,
Enrollment in public pre-K,Early Learning -> Parent/Guardian -> Education -> Highest Level of Education Completed,71152,000141,
