"Global ID","Data Model ID","Element Name"
"001240",71702,"Individualized Program Service Plan Signature Date"
"001241",71704,"Individualized Program Service Plan Reevaluation Date"
"001510",73688,"Method of Service Delivery"
"001233",71688,"Individualized Program NonInclusion Minutes Per Week"
"001234",71690,"Individualized Program Inclusion Minutes Per Week"
"001501",73461,"IDEA IEP Status"
"001656",74354,"IDEA Part C Eligibility Category"
"001289",73826,"Career Education Plan Date"
"001290",73829,"Career Education Plan Type"
"001946",75507,"Role"
"000273",75738,"Student Support Service Type"
"001165",73889,"Goal Start Date"
"001166",74817,"Goal End Date"
"000903",73881,"Goal Description"
"000902",73891,"Goal Success Criteria"
"001367",73222,"Date of Transition Plan"
"001360",73215,"IDEA Part B 619 Potential Eligibility Indicator"
"001500",73458,"IDEA Part C to Part B Notification Date"
"001363",73218,"IDEA Part C to Part B Notification Opt Out Indicator"
"001364",73219,"IDEA Part C to Part B Notification Opt Out Date"
"001365",73220,"Transition Conference Date"
"001521",73674,"Reason for Delay of Transition Conference"
"001366",73221,"Transition Conference Decline Date"
"002125",76583,"Anticipated Date of Transition "
"002117",76573,"IDEA Part C to Part B Transition Delay Reason "
"001504",73694,"Child Outcomes Summary Progress A Indicator"
"001505",73693,"Child Outcomes Summary Progress B Indicator"
"001506",73692,"Child Outcomes Summary Progress C Indicator"
"001507",73689,"Child Outcomes Summary Rating A"
"001508",73690,"Child Outcomes Summary Rating B"
"001509",73691,"Child Outcomes Summary Rating C"
"001336",74375,"Early Learning Outcome Measurement Level"
"001503",74376,"Early Learning Outcome Time Point"
"002126",76584,"Early Learning Outcome Measurement Date"
"000225",74446,"Program Type"
"000829",74133,"Early Childhood Program Enrollment Type"
"001243",74447,"Program Participation Status"
"000590",70661,"Program Participation Start Date"
"000591",70662,"Program Participation Exit Date"
"000222",74450,"Exit Reason"
"001633",74130,"Community-based Type"
"001634",74139,"Inclusive Setting Indicator"
"000827",74379,"Organization Identification System"
"001466",74383,"Responsible Organization Identifier"
"001467",74386,"Responsible Organization Type"
"000625",74451,"Program Identifier"
"000626",74452,"Program Name"
"001922",75269,"Program Entry Reason"
"001946",75508,"Role"
"000147",75165,"Homeless Serviced Indicator"
"000146",75268,"Homeless Primary Nighttime Residence"
"000425",75270,"Person Relationship Type"
"001929",75271,"Awaiting Foster Care Status"
"000777",75272,"Public Assistance Status"
"001976",75502,"Internet Download Speed"
"001977",75503,"Internet Speed Test Date Time"
"001975",75504,"Internet Upload Speed"
"000180",75734,"English Learner Status"
"001612",74083,"Included in Counted Family Size"
"000115",71150,"First Name"
"000184",71154,"Middle Name"
"000172",71153,"Last or Surname"
"000121",71151,"Generation Code or Suffix"
"000212",71155,"Personal Title or Prefix"
"000634",71967,"Other Name Type"
"001514",73628,"Other First Name"
"001515",73644,"Other Middle Name"
"001513",73612,"Other Last Name"
"000206",71968,"Other Name"
"001572",73908,"Person Identifier"
"001571",73903,"Person Identification System"
"001945",75869,"Personal Information Type"
"000618",75870,"Personal Information Verification"
"000425",71157,"Person Relationship Type"
"001428",73322,"Primary Contact Indicator"
"000329",71156,"Custodial Parent or Guardian Indicator"
"000785",74019,"Child Identification System"
"001341",73150,"Emergency Contact Indicator"
"001423",73307,"Person Relationship to Learner Contact Priority Number"
